Date, Import OAI-PMH, Import HTTP, Validate EDM External, Transformation, Validate EDM Internal, Normalization, Enrichment, Media Processing, Index to Preview, Index to Publish
2022-02-10, 12477, 109236, 121146, 120154, 119950, 23595, 11933, 11933, 11939, 11931
2022-02-11, 0, 11, 12129, 24247, 24247, 12129, 12124, 12124, 12124, 12124
2022-02-15, 7871, 0, 7871, 7871, 7871, 19478, 19478, 19478, 19478, 19478
2022-02-16, 8441, 96, 7967, 7967, 7967, 96, 96, 96, 96, 96
2022-02-17, 9011, 96, 14711, 8529, 8529, 8018, 8018, 8018, 8018, 8018
2022-02-18, 12118, 0, 12118, 12118, 12118, 12118, 12118, 12118, 12118, 12118
2022-02-21, 8156, 192, 8343, 8343, 8343, 7832, 7831, 7831, 7831, 7831
2022-02-22, 8156, 96, 8248, 8248, 8248, 7737, 7833, 7768, 7768, 7768
2022-02-24, 12118, 0, 0, 0, 0, 0, 0, 0, 0, 0
2022-02-25, 2997, 0, 2997, 0, 0, 0, 0, 0, 0, 0
2022-03-02, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0
2022-03-03, 0, 0, 0, 0, 0, 0, 96, 96, 96, 96
2022-03-14, 9, 294, 207, 207, 207, 207, 207, 207, 207, 207
2022-03-15, 6, 12, 15, 15, 15, 15, 15, 15, 15, 15
2022-03-18, 11156, 96, 11248, 8251, 8251, 7740, 7740, 7740, 7740, 7740
2022-03-23, 0, 36, 12, 11, 11, 11, 11, 22, 22, 22
2022-03-24, 59, 0, 30, 25, 25, 25, 25, 25, 25, 25
2022-03-25, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6
2022-03-28, 28, 192, 219, 214, 214, 214, 214, 214, 214, 214
2022-03-31, 0, 0, 109022, 108020, 108017, 0, 118, 0, 0, 0
2022-04-04, 8156, 0, 8152, 8152, 8152, 7641, 7641, 7641, 7652, 7737
2022-04-08, 7971, 0, 7958, 7953, 7953, 7442, 7442, 7439, 7439, 7439
2022-04-11, 12, 0, 7, 7, 7, 7, 7, 7, 7, 7
2022-04-12, 16, 0, 8, 8, 8, 10, 8, 8, 8, 8
2022-04-20, 162987, 96, 0, 0, 0, 0, 0, 0, 0, 0
2022-04-21, 128259, 0, 0, 0, 0, 0, 0, 0, 0, 0
2022-04-22, 56222, 0, 56217, 56200, 0, 0, 0, 0, 0, 0
2022-04-25, 0, 0, 7871, 7871, 7871, 7360, 7360, 7360, 8279, 0
2022-04-28, 1657, 0, 827, 827, 827, 827, 827, 827, 827, 827
2022-05-02, 0, 0, 0, 0, 0, 0, 0, 0, 7360, 7360
2022-05-12, 9, 504, 380, 380, 380, 380, 380, 380, 380, 368
2022-05-13, 0, 352, 192, 192, 192, 192, 162, 162, 162, 159
2022-05-15, 7871, 0, 7871, 7871, 7871, 7360, 7360, 7360, 7359, 0
2022-05-16, 0, 60, 33, 33, 33, 33, 33, 33, 33, 33
2022-05-18, 404, 0, 202, 202, 202, 202, 202, 201, 201, 201
2022-05-19, 5764, 0, 5764, 5764, 5764, 5764, 5762, 5761, 11318, 204
2022-05-20, 0, 0, 0, 0, 0, 0, 0, 0, 11114, 5557
2022-05-27, 0, 116, 30, 30, 30, 30, 30, 30, 30, 30
2022-05-31, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8
2022-06-03, 5559, 0, 5559, 5559, 5559, 5559, 5559, 5557, 5557, 5557
2022-06-04, 0, 0, 0, 0, 0, 1255, 5785, 12917, 12917, 12917
2022-06-06, 0, 104517, 30, 30, 30, 30, 30, 30, 30, 30
2022-06-07, 0, 0, 0, 0, 0, 0, 0, 3775, 10229, 12917
2022-06-08, 0, 60, 90, 90, 90, 30, 30, 30, 30, 30
2022-06-09, 9, 60, 60, 60, 60, 60, 60, 60, 60, 60
2022-06-10, 5559, 0, 5559, 5559, 5559, 5559, 5559, 5557, 5557, 5557
2022-06-13, 5559, 0, 5559, 5559, 5559, 5559, 5559, 5557, 3368, 0
2022-06-17, 0, 85, 37, 37, 37, 37, 37, 37, 37, 37
2022-06-20, 0, 102, 102, 102, 102, 102, 102, 102, 102, 102
2022-06-23, 28, 30, 57, 52, 52, 52, 52, 52, 52, 52
2022-07-03, 5587, 102, 0, 0, 0, 0, 0, 0, 0, 0
2022-07-05, 56, 102, 156, 146, 124, 124, 124, 124, 124, 124
2022-07-08, 56, 0, 54, 44, 44, 44, 44, 44, 44, 44
2022-07-09, 0, 0, 0, 0, 0, 45708, 103929, 0, 0, 0
2022-07-12, 0, 0, 0, 0, 0, 0, 0, 30, 30, 30
2022-07-14, 0, 3, 63, 1, 1, 1, 1, 43010, 1, 1
2022-07-15, 0, 30, 57, 30, 30, 30, 30, 30, 30, 30
2022-07-18, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30
2022-07-25, 0, 32, 32, 31, 31, 31, 31, 31, 31, 31
2022-07-26, 0, 96, 96, 96, 96, 96, 96, 96, 96, 192
