2024-06-03T00:00:00.000Z,Total,High Quality
Netherlands,"9,995,200","4,424,347"
Germany,"6,640,622","4,780,372"
United Kingdom,"5,768,498","4,313,503"
Spain,"5,460,037","2,620,922"
France,"4,878,329","1,970,746"
Sweden,"4,632,533","2,426,531"
Poland,"3,839,814","1,336,833"
Norway,"3,679,636","477,754"
Belgium,"2,689,410","2,230,105"
Austria,"2,591,423","1,162,132"
Italy,"1,871,445","605,759"
Denmark,"1,518,008","317,370"
Czech Republic,"1,235,921","607,397"
Finland,"1,166,359","1,023,463"
Hungary,"1,050,808","863,221"
Estonia,"824,029","590,142"
Lithuania,"712,085","682,496"
Greece,"668,887","475,274"
Europe,"492,639","233,820"
Slovenia,"475,779","400,161"
Romania,"462,512","338,073"
Israel,"404,506","397,129"
United States of America,"318,511","21,529"
Croatia,"180,206","130,618"
Bulgaria,"168,916","146,712"
Portugal,"145,882","83,358"
Ireland,"124,194","50,934"
Latvia,"115,886","112,751"
Switzerland,"89,492","45,705"
Serbia,"84,612","76,693"
Luxembourg,"65,805","1,523"
Cyprus,"57,347","39,114"
Malta,"53,165","1,122"
Slovakia,"22,081","14,147"
Russia,"14,428",0
Iceland,"8,533",756
Moldova,"4,300",0
Turkey,"3,171","2,601"
Belarus,"1,728","1,717"
Ukraine,"1,379","1,356"
Albania,"1,028",723
North Macedonia,347,5
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
